0.19,-0.25,1.01
0.06,-0.03,1.00
0.07,-0.05,1.00
0.07,-0.01,1.02
-0.03,0.39,1.00
-0.10,0.14,1.00
0.12,0.10,1.03
0.08,-0.06,1.01
0.08,-0.09,1.04
0.12,-0.18,1.10
0.36,-0.05,1.16
0.05,0.04,1.04
-0.01,0.11,1.28
0.00,-0.04,1.29
0.05,-0.00,1.22
0.41,-0.08,0.89
0.50,0.14,0.72
0.35,0.01,1.11
0.32,-0.21,1.11
0.34,-0.22,0.91
0.33,-0.12,0.92
0.35,-0.15,0.99
0.03,-0.05,0.99
-0.04,-0.09,1.17
-0.15,-0.06,1.18
-0.08,0.06,1.07
-0.08,-0.05,1.00
-0.14,-0.03,0.93
-0.23,-0.05,0.98
-0.20,-0.04,0.96
-0.13,-0.11,0.94
-0.13,-0.03,0.89
-0.10,-0.03,0.88
-0.15,-0.08,0.86
-0.18,-0.09,0.82
-0.14,-0.06,0.77
